id,good,brand
0,клей,ермак
1,торт,сладушка
2,смеситель,calorie
3,лимон,
4,коньяк,сараджишвили
5,пластина,born pretty
6,рис,chicken beer
7,труба,tebo
8,консервы,грандорф
9,одеяло,автотепло
10,аромапалочки,satya
11,пюре,роллтон
12,сироп,ранкоф тимошка
13,крем гель,botavikos
14,,добрая коров белгор
15,,zing
16,конфеты,
17,скумбрия,
18,чипсы,лаки
19,трусы,hunk
20,гор леденцы,горпилс gepach
21,печенье,
22,майонез,махеев
23,штукатурка,habez
24,шайба,
25,корм,shebacla
26,саморез,шуж
27,томаты,lorado
28,саморез,
29,ни,ни
30,держатель,мыльницы
31,рюкзак,
32,джинсы,wrangler
33,консервы,четвероногийман
34,винт,din
35,сок,вико
36,куртка,
37,серьги,
38,пельмени,
39,джеггинсы,yasiyilian
40,,мойка тяга
41,фильтр,
42,авиабилеты,нижний новгород
43,,жигулёвское
44,платье,love republic
45,футболка,
46,,schwarz
47,антенна,nakamichi
48,болт,din
49,линолеум,бавария
50,болт,
51,коврик,confetti margherita
52,пиво,блю мун
53,тархунд,тархун
54,пенал,престиж
55,ремень,
56,футболка,cors tina
57,шоколад,tai tau
58,молоко,самое
59,альфасорб,альфасорб
60,берет,
61,,four
62,диск,
63,рюкзак,
64,,ultimate active
65,набор,
66,болт,не
67,,angel love
68,туфли,
69,огурцы,
70,молоко,млада
71,футболка,
72,арахис,мивим
73,пленка,ондутис
74,арахис,seven nuts
75,оксигенотерапия,
76,лимонад,
77,мармелад,бон пари
78,,jenny
79,опора,
80,молоко,
81,конфеты,золотой степ
82,крем,белогент
83,напиток,морсини
84,соус,new
85,карандаш,hatber
86,одеяло,
87,масса,звезда
88,носки,clever
89,перец,ятаган
90,сумка,beve
91,адаптер,wi - fiwi
92,шприц,binano
93,саморез,ral
94,печенье,любятово
95,,
96,мармелад,рахат
97,сок,аква кидс
98,вино,армении
99,саморез,чёр
100,майонез,махеев
101,саморез,
102,пряники,
103,батончик,
104,,уkoдели
105,гель лак,spider
106,пасеки,башкирские
107,цепь,ll
108,коржи,тореро
109,крем,cerave
110,перчатки,торро -
111,штаны,
112,краска,
113,юбка,fusion
114,колбаса,
115,корзина,рогожка
116,футболка,girl '
117,герметик,казань
118,,поливук
119,футболка,
120,группа,kарамель
121,носки,royalgem
122,кофе,эспрессо
123,сайра,сайрафлот
124,маслины,иберика
125,фисташки,фи
126,палочки,санта бремор
127,коврик,
128,болт,j
129,удлинитель,
130,соус,тар
131,попкорн стакан,попкорн
132,зефир,
133,аджика,аджикаэлита
134,,messismines
135,настойка,капитанский
136,напиток,schweppes indian
137,водка,финский стандарт
138,перчатки,inbloom
139,конфеты,
140,арахис,headnuts
141,винт,
142,ботинки,
143,икра,барко
144,батон,хрущева
145,модель машины,toyota kinsmart
146,герметик,казань
147,прокладки,либресс
148,спрей,аква марис
149,хлеб,кунгурский хлеб
150,ушки,
151,скумбрияшка,
152,фильтр,
153,носки,fute
154,пластырь,космос
155,миска,ми леонардо принцесса
156,,toker
157,пакет,for you
158,творог,данон
159,пальто,vera
160,шампунь,чистая лин
161,кофе,нескафе
162,морок,настоящий
163,лезвия,
164,сырок,свитлогорье
165,боксеры,
166,муфта,американка
167,подследники,hobby line
168,попкорн,попкорн
169,лента,vira
170,икра,находка
171,орбит,xxl
172,зраза,зразаоф
173,футболка,
174,босоножки,босон
175,трусы,imi
176,саморез,
177,штаны,arus
178,палочки,санта
179,шаума бальзам,
180,фреза,фр
181,эскимо,золотой стандарт
182,держ,
183,фильтр,акппc
184,клубника,фейхоа
185,куртка,rega
186,дюбель,pnd
187,,
188,пепси,
189,шайба,din
190,футболка,
191,плитка,
192,говядина,
193,пальто,
194,угольник,spk
195,прокладки,libresse
196,напиток,
197,леденцы,на
198,болт,mercedes
199,футболка,
200,нектар,фруктовый сад
201,альбом,lol
202,лапша,
203,резинка,osso
204,болт,din
205,футболк,
206,футорка,valogin
207,дрожжи,nooch
208,мыло,
209,крекер,
210,рубероид,рубероид
211,,shems
212,конфеты,королевский шарм
213,ключ,
214,футболка,zm
215,лампа,ecola
216,пентовит,
217,сердце,троекурово
218,рожок,
219,лампа,narva
220,обувь,мурсу
221,пиво,айингер
222,фильтр,s
223,батон,
224,дюбель,tchappai
225,вафли,лакомка
226,водка,легенда
227,водолазка,
228,порошок,пемолюкс
229,пазл,paremo
230,краска,неаполитанская
231,гель лак,
232,,pa
233,кружка,elan
234,коктейль,село зеленое
235,наборек,
236,подоконник,
237,джемпер,new york
238,аскорбино,аскорбино
239,тетрадь,calligrata
240,муфта,евроконус comap
241,резинка,nice
242,футболка,
243,футболка,
244,,armani
245,саморез,wpf
246,,кириешки
247,тарталетки,сладос
248,батарейка,
249,саморез,bartex
250,футболка,cl
251,пальто,vy
252,паста,эльгидиум
253,квас,хадыжи
254,кашка,фрутоняня
255,краска,dali professional
256,сандалеты,twiki
257,носки,falke
258,наклейка,_ новичок
259,холст,
260,футболка,
261,ремень,
262,боксеры,арнамент
263,перловка,перловка
264,напиток,сыв
265,цепь,
266,пенка,либридерм
267,контейнер,
268,продукт,простоквашино
269,вода,славда
270,смесь,
271,конфеты,шварцвальд
272,сухарики,
273,стрепсилс,reckitt
274,соус,
275,печенье,валентинки
276,капли,рела лайф
277,стоппро лосьон,
278,носки,nike
279,молоток,
280,набор,
281,аспарка,аспаркам
282,напиток,яямоя семья
283,порошок,ариэль
284,рябины,рябины красногорсклексред
285,муравьед,муратокс
286,,aos
287,орбит,орби
288,пластырь,са
289,футболка,
290,сок,плодовое
291,союз,
292,вобла,
293,ключ,
294,коробка,with best wishes
295,пельмени,
296,чай,hyleys
297,плита,gastrorag
298,лапша,
299,фигуры,
300,медаль,любимая мамочка
301,конфеты,
302,пакеты,komfi
303,линзы,acuvue oasys
304,вырезка,
305,лопата,эверест
306,планинг,officespace
307,лосины,медведь
308,пасха,
309,средство,нкшастый нян
310,пена,
311,терм,дом
312,футболка,
313,лента,
314,палочки,пчелка
315,пиво,чанг
316,колпаки,
317,кастрюля,
318,смесь,vitaenergy
319,,бонта
320,обувь,tend
321,лимонад,юдзу нагоя
322,пуговица,
323,ремень,
324,дюбель,ёжик
325,семечки,великан
326,футболка,
327,брюки,demix
328,мацун,ма кавказский
329,дюбель,wkr
330,паприка,
331,икеа,ике
332,сосиска,упо
333,водка,абсолют
334,настойка,капитан
335,вино,le grand noir syrah
336,футболка,город
337,заглушка,
338,молочко,lait
339,щипцы,
340,пальто,
341,,
342,капли,ксимелин
343,зефир,
344,худи,befree
345,благовония,ppure
346,удлинитель,perfeo ru
347,карамель,
348,куртка,levi '
349,пластырь,нанопласт
350,папка,bruno
351,футболка,
352,миксер,stayer profi
353,скотч,stayer master
354,,hobby line
355,,агро - альянс
356,сандалии,superfit spotty
357,карамель,конфитой зубодро
358,зеркало,
359,бумага,toppits
360,ручка,stabilo
361,газ,bonaqua
362,лампа,feron
363,дезодорант гель,lady speed stick
364,мыло,
365,нектар,сад
366,пломбир,радуга
367,лимонад,шау
368,ушки,
369,маркер,centropen
370,болт,
371,текила,сауза
372,набор,коркунов
373,яйцо,головастики
374,пиво,spaten
375,нос,gold gld
376,карамель,halls
377,бур,sds
378,корм,
379,болт,
380,лимон,метро
381,имбирь,damizle
382,ремень,yo
383,творог,простоквашино
384,футболк,
