id,good,brand
0,клей,ермак
1,торт,сладушка
2,смеситель,calorie
3,лимон,бар
4,коньяк,сараджишвили
5,пластина,born pretty
6,рис,chicken beer
7,труба,tebo
8,консервы,грандорф
9,одеяло,автотепло
10,аромапалочки,satya
11,пюре,роллтон
12,сироп,ранкоф
13,крем,botavikos
14,топлёночка,белгор
15,cпицы,zing
16,конфеты,освежающие конфеты
17,скумбрия,х
18,чипсы,лаки
19,трусы,hunk
20,леденцы,горпилс gepach
21,печенье,кременкульское
22,майонез,махеев
23,штукатурка,habez
24,шайба,
25,корм,shebaclassic
26,саморез,шуж
27,томаты,lorado
28,саморез,кров
29,полиэстер,нитkи
30,держатель,
31,рюкзак,ns
32,джинсы,wrangler
33,консервы,четвероногий гурман
34,винт,din
35,сок,вико
36,куртка,поварская
37,серьги,
38,пельмени,
39,джеггинсы,yasiyilian
40,мойка,
41,фильтр,
42,авиабилеты,нижний новгород
43,бочковое,жигулёвское
44,платье,love republic
45,футболка,
46,glamourve,schwarzkopf
47,антенна,nakamichi
48,болт,din
49,линолеум,бавария
50,болт,din
51,коврик,confetti margherita
52,пиво,блю мун
53,лимонад,тархун
54,пенал,престижные авто
55,ремень,р
56,футболка,tina
57,шоколад,tai tau
58,молоко,самое любимое
59,пор,альфасорб
60,берет,берет
61,цифра,four
62,диск отрезной,луга
63,рюкзак,misc
64,,ultimate active
65,дезодорант,
66,болт,
67,п,angel love
68,туфли,
69,огурцы,любимый
70,молоко,млада
71,футболка,
72,арахис,мивимекс
73,пленка,ондутис
74,арахис,seven nuts
75,оксигенотерапия,оксиген
76,лимонад,оригинальный стекло
77,мармелад,бон пари
78,коллекция,jenny fairy
79,опора,
80,молоко,первозданное
81,конфеты,золотой степ
82,крем,белогент
83,напиток,морсини
84,соус,new
85,карандаш,hatber
86,одеяло,бамбук
87,масса,звезда
88,носки,clever
89,перец,ятаган
90,сумка,beve
91,адаптер,
92,шприц,binano
93,саморез,ral
94,печенье,любятово
95,бронирование,
96,мармелад,рахат
97,сок,аква
98,вино,цвета армении
99,саморез,редкий шаг
100,майонез,махеев
101,саморез,
102,пряники,в асс - те
103,батончик,здоровый перекус
104,,уkoделия
105,гель - лак,spider
106,пасеки,башкирские пасеки
107,цепь,ll
108,коржи,тореро
109,крем,cerave
110,перчатки,торро - зима
111,штаны,
112,краска,тиккурила
113,юбка,fusion
114,колбаса,венская
115,корзина,рогожка
116,футболка,girl ' s t - shirt
117,герметик,авто
118,полив,жук от емкос
119,футболка,
120,группа,k
121,носки,royalgem
122,кофе,эспрессо
123,сайра,доброфлот
124,маслины,иберика
125,фисташки,
126,палочки,санта бремор
127,коврик,d70
128,болт,jn
129,удлинитель,сетевой
130,соус,тар - тар - бургер
131,попкорн,
132,зефир,вес
133,аджика,аэлита
134,messisminesolid,messismines
135,настойка,капитанский
136,напиток,schweppes
137,водка,финский стандарт
138,перчатки,inbloom
139,конфеты,ншф
140,арахис,headnuts
141,винт,din
142,ботинки,
143,икра,барко
144,батон,хрущева
145,модель,toyota kinsmar
146,герметик,казань
147,прокладки,либресс
148,спрей,аква марис
149,хлеб,кунгурский хлеб
150,ушки,
151,тушка,ску
152,фильтр,
153,носки,fute
154,пластырь,космос
155,миска,леонардо принцесса
156,разветвитель,toker
157,пакет,for you
158,творог,данон
159,пальто,vera
160,шампунь,чистая лин
161,кофе,нескафе
162,рожок,настоящий
163,лезвия,
164,сырок,свитлогорье
165,боксеры,арт
166,муфта,арт
167,подследники,hobby line
168,попкорн,карамель
169,лента,vira
170,икра,находка
171,орбит,баблминт
172,зраза,зраза
173,футболка,
174,босоножки,
175,трусы,imi
176,саморез,сд
177,штаны,arus
178,палочки,санта бремор
179,бальзам,шаума
180,фреза,кмиз
181,эскимо,золотой стандарт
182,держ - ль,держ - ль
183,фильтр,акпп
184,лимонад,фейхоа
185,куртка,rega
186,дюбель,pnd
187,канин,роял
188,пепси - кола,пепси - кола
189,шайба,din
190,футболка,
191,плитка,черепашка красная
192,говядина,березовский мк
193,пальто,лайм
194,угольник,spk
195,прокладки,libresse
196,напиток,курган
197,леденцы,натурино
198,болт,mercedes
199,футболка,
200,нектар,фруктовый сад
201,альбом,lol
202,лапша,пикник
203,резинка,osso
204,болт,din
205,футболк,r
206,футорка,valogin
207,дрожжи,nooch
208,мыло,аист
209,крекер,
210,рубероид,ркп
211,сабо,shems
212,конфеты,королевский шарм
213,ключ,ваз
214,футболка,z
215,лампа,ecola
216,пентовит,пентовит
217,сердце,троекурово
218,рожок,шебекинские
219,лампа,narva
220,обувь,мурсу
221,пиво,айингер
222,фильтр,sct
223,батон,класс
224,дюбель,tchappai
225,вафли,лакомка
226,водка,легенда
227,водолазка,водолазка
228,порошок,пемолюкс
229,пазл,paremo
230,краска,неаполитанская
231,гель - лак,pole
232,paскраски,гениев
233,кружка,elan
234,коктейль,село зеленое
235,набор,
236,подоконник,пвх белый
237,джемпер,new york
238,аскорбиновая,гленвитол
239,тетрадь,calligrata
240,муфта,comap
241,резинка,nice
242,футболка,
243,футболка,
244,spray,armani emporio
245,саморез,
246,,кириешки
247,тарталетки,сладос
248,батарейка,таблетка
249,саморез,bartex
250,футболка,cl
251,пальто,
252,зубная паста,эльгидиум
253,квас,хадыжи
254,кашка,фрутоняня
255,краска,dali рогнеда
256,сандалеты,twiki
257,носки,falke
258,наклейка,новичок за
259,холст,
260,футболка,
261,ремень,приводной ремень
262,боксеры,арнамент
263,перловка,перловка
264,напиток,ижмолоко
265,цепь,
266,пенка,либридерм
267,контейнер,
268,продукт творожный,простоквашино
269,вода,славда
270,кладочная смесь,геркулес
271,конфеты,шварцвальд
272,сухарики,пенза
273,стрепсилс,стрепсилс
274,соус,чесночный
275,печенье,валентинки
276,капли,рела
277,лосьон,стоппроблем
278,носки,nike
279,молоток,
280,набор,ks
281,аспаркам,аспаркам
282,напиток,яямоя
283,порошок,ариэль
284,плоды,красногорсклексредства
285,муравьед,муратокс
286,средство,aos чист
287,орбит,орбит
288,пластырь,салипод
289,футболка,
290,сок,плодовое
291,союз,союз
292,вобла,нестандарт
293,ключ,кго
294,коробка,with best wishes
295,пельмени,элитные
296,чай,hyleys
297,плита,gastrorag
298,лапша,дом.
299,фигуры,немецкие танкисты
300,медаль,любимая мамочка
301,конфеты,трюфель мол
302,пакеты,komfi
303,линзы,acuvue
304,вырезка,бли
305,лопата,эверест
306,планинг,officespace
307,лосины,медведь
308,пасха,пасх
309,средство для посуды,нкастый нянь
310,пена,спар
311,термоэтикетки,дом кухня
312,футболка,xs
313,лента,ideal
314,палочки,пчелка
315,пиво,чанг
316,колпаки,волшебный единорог
317,кастрюля,
318,смесь,vitaenergy
319,джем,ле бонта
320,обувь,tend
321,лимонад,юдзу
322,пуговица,герб
323,ремень,
324,дюбель,ёжик
325,семечки,джинн великан
326,футболка,кат
327,брюки,demix
328,мацун,кавказский молочник
329,дюбель,wkr
330,паприка,вд
331,ик,икеа
332,сосиска,упо
333,водка,абсолют
334,настойка,капитанский
335,вино,le grand noir
336,футболка,город
337,заглушка,завод
338,молочко,lait
339,щипцы,
340,пальто,g & k
341,форель,нов
342,капли,ксимелин
343,зефир,ххl
344,худи,befree
345,благовония,ppure
346,удлинитель,perfeo
347,карамель,насладись
348,куртка,levi ' s
349,пластырь,нанопласт
350,папка,bruno visconti
351,футболка,
