id,good,brand
0,клей,ермак
1,торт,сладушка
2,смеситель,calorie
3,лимон,
4,коньяк,сараджишвили
5,пластина,born pretty
6,рис,chicken beer
7,труба,tebo
8,консервы,грандорф
9,одеяло,
10,аромапалочки,satya
11,пюре,роллтон
12,сироп,ранкоф
13,крем,botavikos
14,,добрая
15,cпицы,zing
16,конфеты,
17,скумбрия,
18,чипсы,лаки
19,трусы,
20,леденцы,горпилс
21,печенье,кременкульское
22,майонез,махеев
23,штукатурка,habez
24,шайба,
25,корм,shebaclassic
26,саморез,
27,томаты,lorado
28,саморез,
29,полиэстер,
30,держатель,
31,рюкзак,
32,джинсы,wrangler
33,консервы,четвероногий гурман
34,винт,din
35,сок,вико
36,куртка,
37,серьги,
38,пельмени,
39,джеггинсы,yasiyilian
40,мойка,
41,фильтр,
42,авиабилеты,нижний
43,,жигулёвское
44,платье,love republic
45,футболка,
46,,schwarzkopf
47,антенна,nakamichi
48,болт,
49,линолеум,бавария
50,болт,
51,коврик,confetti margherita
52,пиво,блю
53,лимонад,
54,пенал,
55,ремень,
56,футболка,tina
57,шоколад,tai tau
58,молоко,самое любимое
59,,альфасорб
60,берет,
61,цифра,
62,диск отрезной,луга
63,рюкзак,misc
64,,ultimate
65,дезодорант,
66,болт,
67,,angel
68,туфли,
69,огурцы,любимый
70,молоко,млада
71,футболка,
72,арахис,мивимекс
73,пленка,ондутис
74,арахис,seven nuts
75,оксигенотерапия,
76,лимонад,
77,мармелад,бон пари
78,,jenny fairy
79,опора,
80,молоко,первозданное
81,конфеты,золотой степ
82,крем,белогент
83,напиток,морсини
84,соус,new
85,карандаш,hatber
86,одеяло,
87,масса,звезда
88,носки,clever
89,перец,
90,сумка,beve
91,адаптер,
92,шприц,binano
93,саморез,ral
94,печенье,любятово
95,,
96,мармелад,рахат
97,сок,аква
98,вино,
99,саморез,
100,майонез,махеев
101,саморез,
102,пряники,
103,батончик,
104,,
105,гель - лак,spider
106,,башкирские пасеки
107,цепь,
108,коржи,
109,крем,cerave
110,перчатки,
111,штаны,
112,краска,тиккурила
113,юбка,fusion
114,колбаса,
115,корзина,
116,футболка,
117,герметик,
118,полив,
119,футболка,
120,,
121,носки,royalgem
122,кофе,эспрессо
123,сайра,доброфлот
124,маслины,иберика
125,фисташки,
126,палочки,санта бремор
127,коврик,
128,болт,
129,удлинитель,
130,соус,тар - тар
131,попкорн,
132,зефир,
133,аджика,аэлита
134,,messismin
135,настойка,капитанский
136,напиток,schweppes
137,водка,финский стандарт
138,перчатки,inbloom
139,конфеты,
140,арахис,headnuts
141,винт,
142,ботинки,
143,икра,барко
144,батон,
145,модель,toyota kinsmar
146,герметик,
147,прокладки,либресс
148,спрей,аква марис
149,хлеб,кунгурский хлеб
150,ушки,
151,,
152,фильтр,
153,носки,
154,пластырь,космос
155,миска,принцесса
156,разветвитель,toker
157,пакет,for you
158,творог,данон
159,пальто,vera
160,шампунь,чистая лин
161,кофе,нескафе
162,рожок,настоящий
163,лезвия,
164,сырок,свитлогорье
165,боксеры,
166,муфта,
167,подследники,hobby line
168,попкорн,карамель
169,лента,vira
170,икра,находка
171,орбит,
172,зраза,
173,футболка,
174,босоножки,
175,трусы,imi
176,саморез,
177,штаны,
178,палочки,санта бремор
179,бальзам,шаума
180,фреза,кмиз
181,эскимо,золотой стандарт
182,,
183,фильтр,акпп
184,лимонад,фейхоа
185,куртка,rega
186,дюбель,
187,,роял
188,,
189,шайба,din
190,футболка,
191,плитка,
192,говядина,березовский мк
193,пальто,
194,угольник,
195,прокладки,libresse
196,напиток,курган
197,леденцы,натурино
198,болт,mercedes
199,футболка,
200,нектар,фруктовый сад
201,альбом,lol
202,лапша,пикник
203,резинка,osso
204,болт,
205,футболк,
206,футорка,valogin
207,дрожжи,nooch
208,мыло,аист
209,крекер,
210,рубероид,
211,сабо,shems
212,конфеты,королевский шарм
213,ключ,
214,футболка,
215,лампа,ecola
216,,пентовит
217,сердце,троекурово
218,рожок,шебекинские
219,лампа,narva
220,обувь,мурсу
221,пиво,айингер
222,фильтр,
223,батон,
224,дюбель,tchappai
225,вафли,лакомка
226,водка,чача
227,водолазка,
228,порошок,пемолюкс
229,пазл,paremo
230,краска,
231,гель - лак,pole
232,paскраски,
233,кружка,elan
234,коктейль,село зеленое
235,,
236,подоконник,
237,джемпер,
238,аскорбиновая,гленвитол
239,тетрадь,calligrata
240,муфта,comap
241,резинка,nice
242,футболка,
243,футболка,
244,spray,armani
245,саморез,
246,,кириешки
247,тарталетки,сладос
248,батарейка,
249,саморез,bartex
250,футболка,
251,пальто,
252,зубная паста,эльгидиум
253,квас,хадыжи
254,кашка,фрутоняня
255,краска,dali рогнед
256,сандалеты,twiki
257,носки,falke
258,наклейка,
259,холст,
260,футболка,
261,ремень,
262,боксеры,
263,перловка,
264,напиток,ижмолоко
265,цепь,
266,пенка,либридерм
267,контейнер,
268,продукт творожный,простоквашино
269,вода,славда
270,кладочная смесь,геркулес
271,конфеты,шварцвальд
272,сухарики,
273,,стрепсилс
274,соус,
275,печенье,
276,капли,рела
277,лосьон,стоппроблем
278,носки,nike
279,молоток,
280,набор предохранителей,k
281,,аспаркам
282,напиток,яямоя
283,порошок,ариэль
284,плоды,красногорсклексредства
285,муравьед,муратокс
286,средство,aos чист
287,,орбит
288,пластырь,салипод
289,футболка,
290,сок,
291,союз,союз
292,вобла,
293,ключ,
294,коробка,
295,пельмени,
296,чай,hyleys
297,плита,gastrorag
298,лапша,
299,фигуры,
300,медаль,
301,конфеты,
302,пакеты,komfi
303,линзы,acuvue
304,вырезка,
305,лопата,эверест
306,планинг,officespace
307,лосины,
308,пасха,
309,средство для посуды,нк ушастый нянь
310,пена,
311,термоэтикетки,дом кухня
312,футболка,
313,лента,ideal
314,палочки,пчелка
315,пиво,
316,колпаки,
317,кастрюля,
318,смесь,vitaenergy
319,джем,ле бонта
320,обувь,
321,лимонад,
322,пуговица,
323,ремень,
324,дюбель,
325,семечки,джинн великан
326,футболка,
327,брюки,demix
328,мацун,кавказский молочник
329,дюбель,
330,паприка,
331,,икеа
332,сосиска,
333,водка,абсолют
334,настойка,капитанский
335,вино,le grand noir
336,футболка,город
337,заглушка,
338,молочко,lait
339,щипцы,
340,пальто,
341,форель,
342,капли,ксимелин
343,зефир,
344,худи,befree
345,благовония,ppure
346,удлинитель,perfeo
347,карамель,насладись
348,куртка,levi '
349,пластырь,нанопласт
350,папка,bruno visconti
351,футболка,
352,миксер,stayer
353,скотч,stayer
354,,hobby line
355,рожок,агро - альянс
356,сандалии,superfit spotty
357,карамель,конфитой
358,зеркало,
359,бумага,toppits
360,ручка,stabilo
361,газ,bonaqua
362,лампа,feron
363,дезодорант,lady speed
364,мыло,саратов
365,нектар,сад
366,пломбир,радуга
367,лимонад,шау дан
368,ушки,классиче
369,маркер,centropen
370,болт,
371,текила,денвью
372,набор,
373,яйцо,головастики
374,пиво,spaten
375,нос,
376,карамель,halls
377,бур,практика
378,корм,перфект
379,болт,
380,лимон,
381,имбирь,damizle
382,ремень,
383,творог,простоквашино
384,футболк,
385,авиабилеты,
386,коврик,
387,,красавчик
388,муфта,
389,соус,
390,,weber
391,шайба,
392,браслет,
393,гель,комет
394,лапша,
395,футболка,
396,пиво,старый мельник
397,карандаш,bic kids
398,кольцо,
399,кофта,
400,керамзит,
401,пена,докаи
