name,brand,brand_pos
Petmax Бантик леопард с красн розой 2шт,petmax,"(0, 6)"
87191 Бусы для елки шарики_87191,,"(0, 0)"
Футболка Piazza Italia WR011446881,piazza italia,"(9, 22)"
7) YI572-03X-ONE ЗАКОЛКА ДЛЯ ВОЛОС ДЛЯ ДЕВОЧКИ,,"(0, 0)"
Одежда (вес) 1500,,"(0, 0)"
РУСАЛОЧКА Губка ТРИО трехслой.3 шт ЛЮКС,русалочка,"(0, 9)"
"29-003 ОБОИ/ART/п.п. белые на флизе 1,06*10/островки/9//52",,"(0, 0)"
Квас Очаковский Пряная зима 2л,очаковский,"(5, 15)"
14 2456549180228 НБ маска+п/COSY/М-Ив,cosy,"(28, 32)"
Наконечник вилочный изолированный НВИ 2-6 (50шт.) EKF PROxima ,ekf,"(50, 53)"
Колготки дет.(6837 - 11),,"(0, 0)"
ЧокоПай Дарк какао 6шт.Орион,орион,"(23, 28)"
Аэратор НВ72-1 с НР,,"(0, 0)"
"Подушка Бамбук ПБ-57, поликоттон и хлопок, 50х70 см",,"(0, 0)"
БЕЛЛА Прокладки гигиенич Классик  Нова комфорт 10шт,белла,"(0, 5)"
Лаванда 50 гр. м /у,,"(0, 0)"
Купаты Мясные 1кг лоток МА,ма,"(24, 26)"
Кефир 1% Коровка из Кореновки,коровка из кореновки,"(9, 29)"
"Портьерная штора Arco Doro, бежевый, имитация льна, 200х260 (Гарантия - ОнЛайн Трейд 14 дней)",arco doro,"(17, 26)"
"Сады Придонья сок яблоко,чёрн смородина 200мл Пр",сады придонья,"(0, 13)"
Гайка М 8  оц.(1),,"(0, 0)"
Торт Абрикосовая мечта 600г Наш Кондитер,наш кондитер,"(28, 40)"
"Пицца La Trattoria 0,335г ассорти",la trattoria,"(6, 18)"
"eвя нная ""Koрмушkа для птиц"" №02   фанера 80017 Артиkул 27808894082",,"(0, 0)"
332485 Рубашка муж. 6PMMS19 SBD04 CD/005/Мультиколор / 43,,"(0, 0)"
Ст/порошок Персил автомат 3кг Лаванда,персил,"(11, 17)"
Гарнитура ASUS Cerberus V2 красный/черный 1.2м мониторы (АКЦИЯ),asus,"(10, 14)"
Вода минеральная Шалбуз 5л,шалбуз,"(17, 23)"
ЛЕЙКОПЛАСТЫРЬ 4Х500 /КАРТОН УПАК/ВЕРОФАРМ,верофарм,"(33, 41)"
"Компот домаш. абрикос 0,5л",,"(0, 0)"
"Вода Новотерская питьевая негаз. 0,5л пэт",новотерская,"(5, 16)"
Без скидки!!! Merries Подгузники эконом лардж 9-14 кг (54шт/4кор),merries,"(14, 21)"
"Наклейки Светоотражающие,5шт.SOK048",,"(0, 0)"
"ЛОТОК ВЕРТ. СТАММ УЛЬТРА, СЕРЫЙ /12// арт. ЛТ01",стамм,"(12, 17)"
2. НЕКСТ Увлажняющая сыворотка 2-фазная с гидролиз,некст,"(3, 8)"
Капуста квашен (весовая). 1кг,,"(0, 0)"
"Леденец ""Бобс"" мята/эвкалипт 35 гр.",бобс,"(9, 13)"
Мютаки печенье с нач повидло 1кг Аксаково,,"(0, 0)"
aтиk джу товый   KД1   100% джут   10 м сурoвый Аpтиkул 53955534242,,"(0, 0)"
"121739 Блэк Толкушка ,жаропроч.нейлон   881-247",,"(0, 0)"
4606453018942 NDL1/0 ESTEL DE LUXE Краска-уход №1/0 Черный классический 60 мл,estel,"(21, 26)"
  935098 Рычаг подвески передний нижний R,,"(0, 0)"
"Горчица ""Махеевъ"" Русская туба 100 гр. 1/15 шт.",махеевъ,"(9, 16)"
"Очки U.Met.Ton универс. метал. оправа тон. -4,00",,"(0, 0)"
"Рулет куриный с корейской морковью 0,202 кг.",,"(0, 0)"
Мороженое Натур Пломбир крем-брюле грецк/орех 410г БЗМЖ,натур пломбир,"(10, 23)"
батон молочный 300г Родные просторы,родные просторы,"(20, 35)"
Сыр Сваля Тильзитер полутвердый 45% 400г БЗМЖ,сваля,"(4, 9)"
Ряженка 4% Киржач 500гр бут.            ,,"(0, 0)"
КашаБ/п Мистраль 40г*6 овсяная цельнозерновая манго-персик,мистраль,"(8, 16)"
СВЧ-печь HYUNDAI HYM-D2071,hyundai,"(9, 16)"
Блокнот 60л А5 Офис полн УФ лак спираль арт. EAC-10188/2  1/12 1/48,,"(0, 0)"
ЛЕЙКОПЛАСТЫРЬ МЕД. ФИКС. НА ТКАНЕВОЙ ОСНОВЕ 3Х500СМ И/У. П/Э,,"(0, 0)"
CLE B650бк Трусы жен  Новая ЧБ база чсрный  р44,,"(0, 0)"
Батарейка PANASONIC ААА  цена за 1 шт LR03 мизинчиковые(шт),panasonic,"(10, 19)"
Творог Сваля зерненый  5% 180г Б,сваля,"(7, 12)"
"Машина металлическая BAVARIA FREEDOM CAR 1:36, дв. откр., инерц., свет, Машины и мотоциклы шт",bavaria freedom car,"(21, 40)"
Лейкопластырь 5Х500 Верофарм (Ро,верофарм,"(20, 28)"
Клипса пластм. крепежная C-1103 (<Не заполнено>),,"(0, 0)"
"Паста Болоньезе Uppetit, 300 г",uppetit,"(16, 23)"
КОЛБАСА ЧЕСНОЧНАЯ П/К В/У 350Г,,"(0, 0)"
Томат Мазарини Ц СС шт,,"(0, 0)"
"Пюре ""Бабушкино Лукошко""  из груш и яблок 100 г с 5 мес.",бабушкино лукошко,"(6, 23)"
ARO АЛЮМИНИЕВАЯ ФОЛЬГА 10М*44СМ 9МКМ,aro,"(0, 3)"
338517 Куртка муж. M/1/070/473/W9/blue / 50,,"(0, 0)"
772458. Жевательная резинка Coris (квадраты) Суп,coris,"(28, 33)"
УКСУС СТОЛОВЫЙ  9% 500гр пл/б 1*12,,"(0, 0)"
"64/063 Молния тр.№8,G2080T,75см(2замка) (071 св.кремовый)",,"(0, 0)"
КЕТЧУП Томатный Кухмастер 260г п/э,кухмастер,"(16, 25)"
"191327 Краски акварельные ЮНЛАНДИЯ ""ВЕСЁЛЫЙ ШМЕЛЬ"", медовые, 18+2 цв (золото+серебро), ВОЛШЕБ (ПТ-№00УТ-001955 от 29.07.2021)",юнландия,"(26, 34)"
КОНФЕТЫ ТИМИ МИКС 1КГ,тими,"(8, 12)"
"Пиво светлое ""Охота крепкое"". Пастеризованное, алк. 8.1% об. 0,45л ст/б",охота,"(14, 19)"
Носки муж AGL-9-PIER LUIGI носки муж СБОРНЫЙ 25,pier luigi,"(16, 26)"
Сигареты Kiss mentol,kiss,"(9, 13)"
АУГС225200 Сумка мужская 190х230х60 нат.,,"(0, 0)"
Макароны Макноф рожки 900 г.,макноф,"(9, 15)"
"Водка ""Русская валюта"" премиум люкс 38% 0,25л, Россия",русская валюта,"(7, 21)"
[M] Слипоны Nobbaro LM097057139 Q<9et?DYnWNgn,nobbaro,"(12, 19)"
Удлинитель Navigator 71450 б/з 3гн.5м.,navigator,"(11, 20)"
Хлебцы Вафельные KUPIEC мультизерновые 90гр. 1/12  001944,kupiec,"(17, 23)"
Доска разделочная из кера Белый/Золотистый,,"(0, 0)"
ГЛЭЙС конфеты со сливочным вкусом 1кг КДВ,кдв,"(38, 41)"
"Кронштейн К1П-0,35-0,5 на опору с 2 хомутами TDM",,"(0, 0)"
"Труба ПНД d 32х2,4 мм SDR13,6 ПЭ100 бухта 25 м",,"(0, 0)"
Клей ЭКОН д/стыков линолеума 5,экон,"(5, 9)"
Зева туал.бумага с ароматом сирени 4шт/24/144108 (шт),зева,"(0, 4)"
"Творог ""Простоквашино"" 130г 0,1% мягкий/Московская обл.",простоквашино,"(8, 21)"
Масло Yamalube 4 SAE 10W-40 API SJ Marine Mineral Oil (1 л),yamalube,"(6, 14)"
Бита РZ1х50 S2 11344,,"(0, 0)"
4607024859742 Колбаса Докторская в/у 500г кусок Велком,велком,"(48, 54)"
"БЗМЖ молоко ультрапастер Parmalat 3,5% 1л",parmalat,"(25, 33)"
7034722 UNILEVER DOVE HAIR THERAPY ШАМПУНЬ ОБЪЕМ И ВОССТАНОВЛЕНИЕ,dove,"(17, 21)"
Пряник Тульский 1шт<4519>,,"(0, 0)"
"2. Футляр ШК 1700000294766,",,"(0, 0)"
"Линекс форте,капс,№ 14",линекс,"(0, 6)"
Сварочный полуавтомат Ресанта САИПА-165 (MIG/MAG),ресанта,"(22, 29)"
NATURELLA  Ultra Жен.гиг.прокладки  Maxi 7шт,naturella,"(0, 9)"
ТЕРМОКРУЖКА WALMER LOVEL 300МЛ,walmer,"(12, 18)"
207781 Змея /100шт,,"(0, 0)"
"4630034940810 Открытка ""С днем рождения 500 эскимо"", (шт)",,"(0, 0)"
2) XN617-MLC-M ШОРТЫ ЖЕНСКИЕ,,"(0, 0)"
Б2-30000857ЦИ Диск турбо /универсальный рез/ 23-2-22-230,,"(0, 0)"
БЮСТГАЛЬТЕР БЕЗ КОСТОЧЕК ИЗ ХЛОПКА RELAX,relax,"(35, 40)"
1041-0234 Плитка настенная Астрид натура,астрид,"(27, 33)"
2) YR660-39X-44 ПЛАТЬЕ ЖЕНСКОЕ,,"(0, 0)"
"МИНЕРАЛЬНАЯ ВОДА ""НОВОТЕРСКАЯ ЦЕЛЕБНАЯ"" 0,5 Л СТ",новотерская,"(18, 29)"
Блинчики с мясом 360гр БД,,"(0, 0)"
"БЗМЖ Молоко Отборное 3,4-4,5% Простоквашино 0,93л п/б",простоквашино,"(30, 43)"
САЛАТ СУГРОБ,,"(0, 0)"
"Кабель NUM-J (NYM) 3x2,5 мм ,  5 м.,  ГОСТ (Гарантия - 24 мес.)",,"(0, 0)"
СЕРЕТИД МУЛЬТИДИСК ПОР. Д/ИНГ. ДОЗИР. 50 МКГ+100 МКГ/ДОЗА ИНГ. ДОЗИР. 60 ДОЗ Glaxo Wellcome Production(Франция),glaxo wellcome production,"(77, 102)"
Бабаевский батончик с шок,бабаевский,"(0, 10)"
JTS433 Стойка стабилизатора | перед прав/лев | TRW,,"(0, 0)"
Корзина из 25 белых орхидей,,"(0, 0)"
КАША ФИТПАРАД ЛЬНЯНАЯ АБР/ШИПОВ 25Г*  1   ,фитпарад,"(5, 13)"
Вафли с фундуком и шоколадом 1/400,,"(0, 0)"
"VJBX55 Y6 134 Куртка детская для мальчиков, горчичный,р.134",,"(0, 0)"
МАСЛО ЖОЖОБА 30МЛ КОСМЕТ.ИНД.УП.,,"(0, 0)"
1/1 Панкреатин табл п/о кишеч. 25 ед х60,панкреатин,"(4, 14)"
"Напиток б/алк негаз Клубника 0,5л Сибирский бор SPRING",spring,"(48, 54)"
"Лампа светодиодная
LL-E-C37-6W-230-4K-E14 (свеча,
6Вт, нейтр., Е14) Eurolux 76/2/4",eurolux,"(68, 75)"
БУЛОЧКА с повидлом 80гр шт,,"(0, 0)"
"[M] Кеды PUMA LM097331504 iTEt""NEZtPKFC",puma,"(9, 13)"
Лента ЛТПП40-400 коричневая 40мм*70м. Цена за м,,"(0, 0)"
Конфорка д/эл плит ЭКЧ-145  1кВт/220 (евроколодка) с ободом,,"(0, 0)"
Сервелат ОХОТНИЧИЙ в/к в/у г/к вес./Останкино,останкино,"(36, 45)"
C7332R Стойка стабилизатора | перед прав | LYNXauto,lynxauto,"(43, 51)"
2) XY709-70X-116 ПОЛО ДЛЯ МАЛЬЧИКА,,"(0, 0)"
УТ000268067 Крем-мыло  DOVE Красота/Уход 135г (шт),dove,"(23, 27)"
"Напиток Coca cola пэт Zero 0,5л",coca cola,"(8, 17)"
Карта Acuvue 500р.,acuvue,"(6, 12)"
"Колбаса ""Дымов"" Шейка с/к 70гр",дымов,"(9, 14)"
"Эльмуцин 0,3 №20 капс",эльмуцин,"(0, 8)"
Носки муж OMSA Classic 201 уко,omsa,"(10, 14)"
"Цефтриаксон пор д/р-ра для в/м в/в введ 1г фл инд уп (020120, 01.01.2022)",цефтриаксон,"(0, 11)"
ПК ГП Бретцель с солью 70гр ТЗ,,"(0, 0)"
"Свинина запеченная с сыром, 1 порц",,"(0, 0)"
Синие шорты с декором Gulliver(98),gulliver,"(22, 30)"
Резинка форсунки  ВАЗ 2112 (резинов.),,"(0, 0)"
"Перчатки 2Hands Comfort Комфорт, р",2hands,"(9, 15)"
"3.270226  Удобрение Янтарная кислота (рост и  усто (акц*лето) 10г Joy Страда 1шт       17,00* 4,000= 68,00 р.",joy,"(66, 69)"
"1161/4716/026-з-21, Брюки женские (76/44 (170-88-98))",,"(0, 0)"
Вафли Джумка с мягкой карамелью и воздушной кукурузой 37г.,джумка,"(6, 12)"
90756 ЗАЖИГАЛКА SF-105 ЧЕРНАЯ С ЗОЛО,,"(0, 0)"
Мороженое пломбир на сливках ван. 80г БЗМЖ,,"(0, 0)"
Панель ПВХ Кирпич №347 250 х 2700 мм,,"(0, 0)"
"Подарок Манго суш, 100 гр.",,"(0, 0)"
"Батончик ""Степ"" 44г(шт.)",степ,"(10, 14)"
Смесь специй №5 - 5гр,,"(0, 0)"
"aя автoмaтич ескaя  ""Kinex Sl""   0.7 mm С4R-400 Аpтикул 65926862674",kinex,"(21, 26)"
Корм Виннер сухой д\кошек беременных и кормящих с курицей 190гр Мираторг д\п,мираторг,"(64, 72)"
НИСТАТИН 500000 ЕД N20 ТАБ',нистатин,"(0, 8)"
DISCREET Женские гигиенические прокладки на каждый день Multiform Deo Summer Fresh Single 20шт шт,discreet,"(0, 8)"
"Кетчуп ""Махеевъ Татарский"" 500гр д/п",махеевъ,"(8, 15)"
маска защитная-20-15044,,"(0, 0)"
968 Носки женские Орел шт.,,"(0, 0)"
"Энергетический Напиток Gorilla гранат 0,45 л.",gorilla,"(23, 30)"
"ВОДКА ХАСКИ ЛЕДЯНАЯ КЛЮКВА  0,5Л 40% ОСО",хаски,"(6, 11)"
076118ЧН Полуботинки мужские фасон FRAZIER (43),frazier,"(35, 42)"
Фасоль Фрау Марта Красная В Т/С 310Г с ключом,фрау марта,"(7, 17)"
"Водное оружие ""Аквабластер"" в коробке, 500мл",,"(0, 0)"
Перчатки резиновые Кошкин дом р-р M желт. 5096002,кошкин дом,"(19, 29)"
Ачим Морская капуста сушеная 5г оригинал,ачим,"(0, 4)"
Декор 25*35 Лазурь Корабль 4 бирюз 1 сор,,"(0, 0)"
"Миска 0,8 л без рис. (864)",,"(0, 0)"
06162 Жидкость гидросистемы CHF 7.1 минеральная зеленая 1л Febi,febi,"(59, 63)"
СПРИНЦОВКА ТВЕРДЫЙ НАКОН Б1 35МЛ ИНД/УП/ВИТАЛФАРМ,виталфарм,"(40, 49)"
2) 1621E-01X-M ТРУСЫ ЖЕНСКИЕ,,"(0, 0)"
малина протертая на фруктозе  Bifrut 320г с/б,bifrut,"(30, 36)"
"Переноска для птиц и грызунов Пижон картонная, графит, маленькая 12,5*10*10см 4859397(шт)",пижон,"(30, 35)"
ДМ Ряженка 4% 500г пюр-пак БЗМЖ АКЦИЯ!!!,,"(0, 0)"
4. L-81644425 хит  4/0 шатен Londacolor 60 мл,londacolor,"(29, 39)"
Пицца охотничья 1/150,,"(0, 0)"
Батарейка солевая GP R20 GREEN CELL 13G-OS2 S-2/20/240,gp,"(18, 20)"
Сельдь Балтийский берег по-царски с оливками 500г пл/б,балтийский берег,"(7, 23)"
09508430 Диск тормозной Standard | перед | Brembo,brembo,"(43, 49)"
Щетка стеклоочистителя Hyundai Solaris/Creta/Rio 12> задняя H281 BOSCH,bosch,"(65, 70)"
[M] Туфли Helena Berger LM101719440 c5P6m(P/FV(js,helena berger,"(10, 23)"
"203006061237 4259 Фуфайка  муж.  р-р  182,188 -96 (шт)",,"(0, 0)"
Ж/д билет № 76200923702463 Билет,,"(0, 0)"
Кроссовки муж AH-00418 Soter ЗЕЛЕНЫЙ 41,soter,"(23, 28)"
Капитан Сильвер батончик в шоколадной глазури 50г кокос,капитан сильвер,"(0, 15)"
"ВИХРЬ Круг отрезной по металлу 150 х 1,2 х 22",вихрь,"(0, 5)"
Наполнитель (Лаурон)  5л кукурузный д/грызунов,лаурон,"(13, 19)"
Носки женские/ 16732 RU5 InviW (Розовый (8663 thulit)/35-36 (35-36)/),,"(0, 0)"
Питьевая вода н.г. 1 л Лель 2.0 X 25.00,лель,"(23, 27)"
"Маска для лица (тканевая увлажняющая ""Коллаген и экстракт Огурца"" 23мл/поштучно SL-210 Skinlite)",skinlite,"(87, 95)"
Гуашь 9цв Гамма Классическая 20 мл~,гамма,"(10, 15)"
Белье корректирующее Alla Buone LM107951397,alla buone,"(21, 31)"
"Капуста квашеная 0,8кг Грабцево",,"(0, 0)"
НАБОР КОНТЕЙНЕРОВ 12ШТ 500МЛ ОДНОРАЗОВЫЕ,,"(0, 0)"
*ENCHANTIMALS Бальзам д/губ дет Апельсин,enchantimals,"(1, 13)"
20880 Пакет КТМ черный(прорубная ручка),ктм,"(12, 15)"
Резинка в асс-те 70р арт 338,,"(0, 0)"
Сыр плавл. СЗМЖ 100 гр Маслена с ветчиной и сыром,,"(0, 0)"
"Ботинки д/дев, арт. 3F1705, розовый, WERTER BERGER, 22",werter berger,"(37, 50)"
Кисть АКОР ЭКСПЕРТ радиаторная КФР-35х10,акор,"(6, 10)"
Носки муж.DIWARI Optima 7С-43СП ЦЕНА 105-00,diwari,"(10, 16)"
"1000 Шлифовальный круг L312TV 150мм 15/6/9отв.SUN"" шт",sun,"(46, 49)"
ТВОРОГ СО СМЕТАНОЙ(1594)|,,"(0, 0)"
