name,good,good_pos
Petmax Бантик леопард с красн розой 2шт,бантик,"(7, 13)"
87191 Бусы для елки шарики_87191,бусы,"(6, 10)"
Футболка Piazza Italia WR011446881,футболка,"(0, 8)"
7) YI572-03X-ONE ЗАКОЛКА ДЛЯ ВОЛОС ДЛЯ ДЕВОЧКИ,заколка,"(17, 24)"
Одежда (вес) 1500,одежда,"(0, 6)"
РУСАЛОЧКА Губка ТРИО трехслой.3 шт ЛЮКС,губка,"(10, 15)"
"29-003 ОБОИ/ART/п.п. белые на флизе 1,06*10/островки/9//52",обои,"(7, 11)"
Квас Очаковский Пряная зима 2л,квас,"(0, 4)"
14 2456549180228 НБ маска+п/COSY/М-Ив,маска,"(20, 25)"
Наконечник вилочный изолированный НВИ 2-6 (50шт.) EKF PROxima ,наконечник,"(0, 10)"
"O`Stin / MT1Z51 01 L Джемпер Мужск., жемчужно-белый,р.L 50-52",джемпер,"(21, 28)"
Колготки дет.(6837 - 11),колготки,"(0, 8)"
ЧокоПай Дарк какао 6шт.Орион,,"(0, 0)"
Аэратор НВ72-1 с НР,аэратор,"(0, 7)"
"Подушка Бамбук ПБ-57, поликоттон и хлопок, 50х70 см",подушка,"(0, 7)"
БЕЛЛА Прокладки гигиенич Классик  Нова комфорт 10шт,прокладки,"(6, 15)"
Лаванда 50 гр. м /у,лаванда,"(0, 7)"
Купаты Мясные 1кг лоток МА,купаты,"(0, 6)"
"Чай Нести 1,5л черный лимон",чай,"(0, 3)"
Кефир 1% Коровка из Кореновки,кефир,"(0, 5)"
"Портьерная штора Arco Doro, бежевый, имитация льна, 200х260 (Гарантия - ОнЛайн Трейд 14 дней)",штора,"(11, 16)"
"Сады Придонья сок яблоко,чёрн смородина 200мл Пр",сок,"(14, 17)"
Гайка М 8  оц.(1),гайка,"(0, 5)"
Торт Абрикосовая мечта 600г Наш Кондитер,торт,"(0, 4)"
"Пицца La Trattoria 0,335г ассорти",пицца,"(0, 5)"
332485 Рубашка муж. 6PMMS19 SBD04 CD/005/Мультиколор / 43,рубашка,"(7, 14)"
Ст/порошок Персил автомат 3кг Лаванда,порошок,"(3, 10)"
Гарнитура ASUS Cerberus V2 красный/черный 1.2м мониторы (АКЦИЯ),гарнитура,"(0, 9)"
